id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
1146228,Centro,Embajadores,40.4085,-3.69743,Entire home/apt,93.0,42
1162707,Chamberí,Gaztambide,40.43715,-3.71356,Private room,86.0,151
1168731,Villaverde,San Andrés,40.34993,-3.70594,Entire home/apt,87.0,55
1176241,Centro,Cortes,40.41031,-3.69438,Entire home/apt,49.0,12
1177790,Centro,Justicia,40.42087,-3.70118,Entire home/apt,93.0,8
1184735,Centro,Sol,40.4183,-3.70731,Entire home/apt,236.0,155
1220946,Centro,Sol,40.41682,-3.70233,Entire home/apt,147.0,352
1230677,Centro,Embajadores,40.41332,-3.70492,Entire home/apt,80.0,2
1248292,Centro,Sol,40.41884,-3.702,Entire home/apt,128.0,297
1254955,Arganzuela,Palos de Moguer,40.40441,-3.69717,Entire home/apt,130.0,48
1263062,Arganzuela,Delicias,40.39963,-3.69485,Private room,50.0,498
1263329,Arganzuela,Delicias,40.39848,-3.69692,Private room,52.0,492
1266548,Centro,Palacio,40.42239,-3.70986,Entire home/apt,93.0,500
1267730,Centro,Sol,40.41688,-3.70384,Entire home/apt,159.0,340
1272747,Centro,Palacio,40.42055,-3.71043,Entire home/apt,82.0,447
1274889,Chamberí,Almagro,40.43831228745207,-3.698593652243729,Entire home/apt,102.0,78
1297217,Centro,Cortes,40.41495,-3.70061,Entire home/apt,121.0,531
1316794,Centro,Embajadores,40.41263,-3.70751,Entire home/apt,103.0,157
1320674,Centro,Palacio,40.417042,-3.709589,Entire home/apt,111.0,614
1330726,Centro,Embajadores,40.40872,-3.70761,Entire home/apt,98.0,339
1336818,Chamartín,Nueva España,40.46396,-3.68005,Entire home/apt,94.0,66
1343630,Chamberí,Almagro,40.43817,-3.69863,Private room,55.0,74
1346747,Centro,Embajadores,40.40773,-3.70647,Entire home/apt,88.0,100
1362476,Centro,Universidad,40.42176,-3.7024,Entire home/apt,208.0,388
1395084,Chamartín,El Viso,40.44282,-3.68077,Private room,43.0,30
1408400,Centro,Palacio,40.41639,-3.71313,Entire home/apt,97.0,243
1430003,Centro,Palacio,40.42183,-3.71091,Entire home/apt,114.0,188
1431541,Chamberí,Rios Rosas,40.44234,-3.69849,Entire home/apt,224.0,143
1434789,Centro,Palacio,40.42219,-3.71191,Entire home/apt,180.0,178
1443639,Arganzuela,Palos de Moguer,40.4058,-3.69604,Entire home/apt,100.0,59
1463482,Fuencarral - El Pardo,Valverde,40.50377,-3.68884,Entire home/apt,88.0,312
1473278,Salamanca,Goya,40.42303,-3.67129,Entire home/apt,152.0,49
1491263,Salamanca,Goya,40.4244,-3.67485,Private room,15.0,21
1500875,Centro,Palacio,40.41256,-3.70938,Entire home/apt,94.0,473
1507595,Ciudad Lineal,Ventas,40.42662,-3.65387,Entire home/apt,69.0,48
1522608,Centro,Justicia,40.426031,-3.698134,Entire home/apt,113.0,22
1529540,Villa de Vallecas,Casco Histórico de Vallecas,40.36148,-3.59824,Private room,45.0,99
1532354,Centro,Embajadores,40.41055,-3.70656,Entire home/apt,64.0,247
1569343,Salamanca,Lista,40.42929,-3.67663,Entire home/apt,108.0,109
1579108,Centro,Universidad,40.42171,-3.70564,Entire home/apt,87.0,220
1593044,Chamberí,Gaztambide,40.43778,-3.71294,Entire home/apt,183.0,35
1609815,Retiro,Ibiza,40.41697,-3.67319,Private room,60.0,257
1621371,Centro,Palacio,40.42063,-3.71193,Entire home/apt,114.0,187
1622564,Centro,Palacio,40.42152633589287,-3.71198815447068,Entire home/apt,268.0,205
1628485,Centro,Palacio,40.41856630367691,-3.709107643183609,Private room,152.0,213
1636170,Centro,Cortes,40.4163,-3.70046,Entire home/apt,236.0,87
1644183,Chamartín,Prosperidad,40.442649841308594,-3.6739718914031982,Private room,46.0,64
1644403,Centro,Embajadores,40.41396,-3.70446,Entire home/apt,102.0,444
1665067,Usera,Moscardó,40.38533,-3.71209,Private room,26.0,21
1680271,Centro,Sol,40.41474,-3.70744,Entire home/apt,125.0,536
1683393,San Blas - Canillejas,Simancas,40.44033,-3.61872,Entire home/apt,185.0,311
1691073,Centro,Sol,40.41666,-3.70222,Entire home/apt,120.0,341
1695083,Centro,Universidad,40.4217,-3.704667,Entire home/apt,199.0,327
1698916,Centro,Cortes,40.41555,-3.69955,Entire home/apt,119.0,50
1716687,Centro,Palacio,40.41919,-3.70915,Private room,78.0,196
1737408,Moratalaz,Fontarrón,40.40564,-3.65427,Entire home/apt,167.0,196
1737767,Centro,Cortes,40.41466,-3.70115,Entire home/apt,196.0,307
1742289,Centro,Palacio,40.41535,-3.7101,Entire home/apt,60.0,319
1750838,Centro,Embajadores,40.41014,-3.70096,Entire home/apt,115.0,204
1755242,Centro,Sol,40.4152,-3.70429,Entire home/apt,144.0,690
1763683,Centro,Universidad,40.42318,-3.70166,Entire home/apt,68.0,410
1765529,Centro,Palacio,40.40955,-3.71055,Entire home/apt,86.0,72
1774049,Arganzuela,Palos de Moguer,40.40498,-3.7006,Entire home/apt,155.0,76
1779465,Centro,Sol,40.41508865356445,-3.707134962081909,Entire home/apt,270.0,125
1788102,Centro,Palacio,40.4142968542387,-3.709685581272064,Private room,133.0,229
1797544,Salamanca,Recoletos,40.42129424736724,-3.683965195613257,Entire home/apt,127.0,32
1854759,Latina,Cármenes,40.40847,-3.72231,Private room,38.0,73
1858255,Centro,Universidad,40.42363,-3.70076,Entire home/apt,209.0,270
1863038,Centro,Palacio,40.41012,-3.71149,Entire home/apt,225.0,179
1901306,Centro,Embajadores,40.40967178344727,-3.70320200920105,Entire home/apt,77.0,66
1910871,Centro,Palacio,40.41142,-3.71047,Entire home/apt,166.0,149
1927108,Chamberí,Trafalgar,40.43089,-3.70486,Private room,34.0,2
1928731,Centro,Embajadores,40.41154,-3.70803,Entire home/apt,500.0,223
1956372,Centro,Justicia,40.42094,-3.70045,Private room,1286.0,220
1973442,Centro,Embajadores,40.41128,-3.70224,Private room,76.0,207
1990801,Centro,Cortes,40.41497,-3.7014,Entire home/apt,230.0,632
2001012,Centro,Universidad,40.42883,-3.70233,Entire home/apt,73.0,23
2054398,Tetuán,Berruguete,40.46107,-3.70196,Entire home/apt,67.0,19
2062465,Centro,Sol,40.41811,-3.70353,Entire home/apt,88.0,91
2064355,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,165.0,66
2068722,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,206.0,51
2068792,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,198.0,71
2068796,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,246.0,48
2069026,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,225.0,50
2079509,Centro,Universidad,40.42324,-3.70649,Entire home/apt,171.0,0
2084773,Centro,Sol,40.41928,-3.70209,Entire home/apt,524.0,76
2096590,Centro,Universidad,40.42328,-3.70655,Entire home/apt,325.0,19
2100370,Centro,Universidad,40.4243,-3.70442,Entire home/apt,179.0,7
2101315,Centro,Sol,40.41927889999999,-3.7020884,Entire home/apt,264.0,67
2117068,Chamberí,Trafalgar,40.42936,-3.7021,Entire home/apt,70.0,13
2186049,Hortaleza,Canillas,40.46526,-3.65829,Entire home/apt,134.0,30
2188662,Centro,Sol,40.41584,-3.70683,Entire home/apt,213.0,443
2192321,Carabanchel,Comillas,40.38953,-3.71413,Entire home/apt,40.0,53
2224238,Chamartín,Castilla,40.47054,-3.68104,Private room,55.0,427
2247751,Centro,Palacio,40.41535949707031,-3.708812952041626,Entire home/apt,195.0,162
2281129,Centro,Palacio,40.40974,-3.7102,Entire home/apt,129.0,26
2289744,Centro,Embajadores,40.40986,-3.69752,Entire home/apt,110.0,376
2294171,Centro,Sol,40.41737747192383,-3.706744909286499,Entire home/apt,9515.0,8
2299045,Centro,Universidad,40.42506,-3.70752,Entire home/apt,102.0,324
2302853,Centro,Sol,40.42018,-3.70465,Entire home/apt,88.0,90
