Año,Periodo,Precio
2003,Semana 32,0.67
2003,Semana 34,0.68
2003,Semana 35,0.68
2003,Semana 36,0.69
2003,Semana 37,0.68
2003,Semana 38,0.68
2003,Semana 39,0.66
2003,Semana 40,0.66
2003,Semana 41,0.67
2003,Semana 42,0.68
2003,Semana 43,0.69
2003,Semana 44,0.68
2003,Semana 45,0.69
2003,Semana 46,0.69
2003,Semana 47,0.68
2003,Semana 48,0.68
2003,Semana 49,0.68
2003,Semana 50,0.69
2003,Semana 51,0.69
2004,Semana 2,0.69
2004,Semana 3,0.70
2004,Semana 4,0.69
2004,Semana 5,0.70
2004,Semana 6,0.69
2004,Semana 7,0.68
2004,Semana 8,0.68
2004,Semana 9,0.68
2004,Semana 10,0.69
2004,Semana 11,0.70
2004,Semana 12,0.70
2004,Semana 13,0.71
2004,Semana 14,0.72
2004,Semana 15,0.72
2004,Semana 16,0.72
2004,Semana 17,0.73
2004,Semana 18,0.73
2004,Semana 19,0.74
2004,Semana 20,0.74
2004,Semana 21,0.75
2004,Semana 22,0.76
2004,Semana 23,0.76
2004,Semana 24,0.75
2004,Semana 25,0.74
2004,Semana 26,0.74
2004,Semana 27,0.74
2004,Semana 28,0.74
2004,Semana 29,0.75
2004,Semana 30,0.75
2004,Semana 31,0.76
2004,Semana 32,0.77
2004,Semana 33,0.78
2004,Semana 34,0.78
2004,Semana 35,0.79
2004,Semana 36,0.79
2004,Semana 37,0.79
2004,Semana 38,0.79
2004,Semana 39,0.79
2004,Semana 40,0.81
2004,Semana 41,0.82
2004,Semana 42,0.84
2004,Semana 43,0.85
2004,Semana 44,0.85
2004,Semana 45,0.85
2004,Semana 46,0.84
2004,Semana 47,0.82
2004,Semana 48,0.82
2004,Semana 49,0.82
2004,Semana 50,0.81
2004,Semana 51,0.81
2004,Semana 52,0.81
2005,Semana 2,0.81
2005,Semana 3,0.81
2005,Semana 4,0.81
2005,Semana 5,0.81
2005,Semana 6,0.81
2005,Semana 7,0.81
2005,Semana 8,0.82
2005,Semana 9,0.82
2005,Semana 10,0.84
2005,Semana 11,0.86
2005,Semana 12,0.86
2005,Semana 13,0.86
2005,Semana 15,0.87
2005,Semana 16,0.88
2005,Semana 17,0.89
2005,Semana 18,0.89
2005,Semana 19,0.88
2005,Semana 20,0.87
2005,Semana 21,0.86
2005,Semana 22,0.86
2005,Semana 23,0.86
2005,Semana 24,0.87
2005,Semana 25,0.89
2005,Semana 26,0.91
2005,Semana 27,0.92
2005,Semana 28,0.92
2005,Semana 29,0.94
2005,Semana 30,0.93
2005,Semana 31,0.93
2005,Semana 32,0.93
2005,Semana 33,0.93
2005,Semana 34,0.93
2005,Semana 35,0.95
2005,Semana 36,0.96
2005,Semana 37,0.98
2005,Semana 38,0.98
2005,Semana 39,0.97
2005,Semana 40,0.97
2005,Semana 41,0.97
2005,Semana 42,0.97
2005,Semana 43,0.97
2005,Semana 44,0.97
2005,Semana 46,0.96
2005,Semana 47,0.95
2005,Semana 48,0.93
2005,Semana 49,0.91
2005,Semana 50,0.90
2005,Semana 51,0.92
2005,Semana 52,0.92
2006,Semana 3,0.93
2006,Semana 4,0.93
2006,Semana 5,0.94
2006,Semana 6,0.94
2006,Semana 7,0.94
2006,Semana 8,0.94
2006,Semana 9,0.94
2006,Semana 10,0.95
2006,Semana 11,0.94
2006,Semana 12,0.95
2006,Semana 13,0.95
2006,Semana 14,0.96
2006,Semana 15,0.96
2006,Semana 16,0.97
2006,Semana 18,0.99
2006,Semana 19,1
2006,Semana 20,1
2006,Semana 21,1
2006,Semana 22,0.99
2006,Semana 23,0.99
2006,Semana 24,0.98
2006,Semana 25,0.98
2006,Semana 26,0.99
2006,Semana 27,0.98
2006,Semana 28,0.99
2006,Semana 29,0.99
2006,Semana 30,1
2006,Semana 31,1
2006,Semana 32,1
2006,Semana 33,1.01
2006,Semana 34,1.01
2006,Semana 35,1
2006,Semana 36,1
2006,Semana 37,0.99
2006,Semana 38,0.98
2006,Semana 39,0.95
2006,Semana 40,0.94
2006,Semana 41,0.93
2006,Semana 42,0.92
2006,Semana 43,0.92
2006,Semana 44,0.92
2006,Semana 45,0.92
2006,Semana 46,0.91
2006,Semana 47,0.91
2006,Semana 48,0.91
2006,Semana 49,0.91
2006,Semana 50,0.91
2006,Semana 51,0.91
2006,Semana 52,0.91
2007,Semana 2,0.90
2007,Semana 3,0.89
2007,Semana 4,0.88
2007,Semana 5,0.88
2007,Semana 6,0.89
2007,Semana 7,0.90
2007,Semana 8,0.90
2007,Semana 9,0.91
2007,Semana 10,0.92
2007,Semana 11,0.92
2007,Semana 12,0.92
2007,Semana 13,0.92
2007,Semana 14,0.94
2007,Semana 16,0.95
2007,Semana 17,0.95
2007,Semana 18,0.95
2007,Semana 19,0.95
2007,Semana 20,0.95
2007,Semana 21,0.96
2007,Semana 22,0.96
2007,Semana 23,0.95
2007,Semana 24,0.96
2007,Semana 25,0.97
2007,Semana 26,0.98
2007,Semana 27,0.98
2007,Semana 28,0.97
2007,Semana 29,0.98
2007,Semana 30,0.98
2007,Semana 31,0.98
2007,Semana 32,0.98
2007,Semana 33,0.96
2007,Semana 34,0.97
2007,Semana 35,0.97
2007,Semana 36,0.97
2007,Semana 37,0.98
2007,Semana 38,1
2007,Semana 39,1
2007,Semana 40,1
2007,Semana 41,0.99
2007,Semana 42,1
2007,Semana 43,1.01
2007,Semana 44,1.02
2007,Semana 45,1.03
2007,Semana 46,1.05
2007,Semana 47,1.05
2007,Semana 48,1.07
2007,Semana 49,1.08
2007,Semana 50,1.07
2007,Semana 51,1.06
2008,Semana 2,1.08
2008,Semana 3,1.07
2008,Semana 4,1.05
2008,Semana 5,1.05
2008,Semana 6,1.05
2008,Semana 7,1.06
2008,Semana 8,1.08
2008,Semana 9,1.10
2008,Semana 10,1.11
2008,Semana 11,1.14
2008,Semana 12,1.15
2008,Semana 14,1.13
2008,Semana 15,1.13
2008,Semana 16,1.15
2008,Semana 17,1.17
2008,Semana 18,1.19
2008,Semana 19,1.20
2008,Semana 20,1.22
2008,Semana 21,1.27
2008,Semana 22,1.31
2008,Semana 23,1.30
2008,Semana 24,1.29
2008,Semana 25,1.30
2008,Semana 26,1.30
2008,Semana 27,1.31
2008,Semana 28,1.32
2008,Semana 29,1.33
2008,Semana 30,1.32
2008,Semana 31,1.29
2008,Semana 32,1.26
2008,Semana 33,1.22
2008,Semana 34,1.20
2008,Semana 35,1.19
2008,Semana 36,1.20
2008,Semana 37,1.19
2008,Semana 38,1.19
2008,Semana 39,1.16
2008,Semana 40,1.15
2008,Semana 41,1.16
2008,Semana 42,1.13
2008,Semana 43,1.07
2008,Semana 44,1.05
2008,Semana 45,1.02
2008,Semana 46,1.01
2008,Semana 47,1
2008,Semana 48,0.97
2008,Semana 49,0.95
2008,Semana 50,0.92
2008,Semana 51,0.89
2009,Semana 2,0.84
2009,Semana 3,0.88
2009,Semana 4,0.88
2009,Semana 5,0.87
2009,Semana 6,0.87
2009,Semana 7,0.87
2009,Semana 8,0.87
2009,Semana 9,0.85
2009,Semana 10,0.85
2009,Semana 11,0.84
2009,Semana 12,0.83
2009,Semana 13,0.84
2009,Semana 14,0.86
2009,Semana 15,0.86
2009,Semana 17,0.87
2009,Semana 18,0.87
2009,Semana 19,0.86
2009,Semana 20,0.87
2009,Semana 21,0.88
2009,Semana 22,0.87
2009,Semana 23,0.87
2009,Semana 24,0.90
2009,Semana 25,0.95
2009,Semana 26,0.96
2009,Semana 27,0.95
2009,Semana 28,0.94
2009,Semana 29,0.92
2009,Semana 30,0.91
2009,Semana 31,0.93
2009,Semana 32,0.95
2009,Semana 33,0.97
2009,Semana 34,0.97
2009,Semana 35,0.97
2009,Semana 36,0.96
2009,Semana 37,0.95
2009,Semana 38,0.94
2009,Semana 39,0.94
2009,Semana 40,0.93
2009,Semana 41,0.93
2009,Semana 42,0.94
2009,Semana 43,0.96
2009,Semana 44,0.97
2009,Semana 45,0.98
2009,Semana 46,0.98
2009,Semana 47,0.97
2009,Semana 48,0.97
2009,Semana 49,0.96
2009,Semana 50,0.97
2009,Semana 51,0.96
2009,Semana 52,0.96
2010,Semana 2,0.99
2010,Semana 3,1.01
2010,Semana 4,1
2010,Semana 5,1
2010,Semana 6,0.99
2010,Semana 7,0.99
2010,Semana 8,0.99
2010,Semana 9,1
2010,Semana 10,1.01
2010,Semana 11,1.02
2010,Semana 12,1.04
2010,Semana 13,1.04
2010,Semana 14,1.05
2010,Semana 16,1.09
2010,Semana 17,1.08
2010,Semana 18,1.08
2010,Semana 19,1.10
2010,Semana 20,1.10
2010,Semana 21,1.10
2010,Semana 22,1.07
2010,Semana 23,1.07
2010,Semana 24,1.08
2010,Semana 25,1.09
2010,Semana 26,1.10
2010,Semana 27,1.09
2010,Semana 28,1.09
2010,Semana 29,1.08
2010,Semana 30,1.08
2010,Semana 31,1.08
2010,Semana 32,1.08
2010,Semana 33,1.10
2010,Semana 34,1.09
2010,Semana 35,1.08
2010,Semana 36,1.09
2010,Semana 37,1.09
2010,Semana 38,1.09
2010,Semana 39,1.10
2010,Semana 40,1.09
2010,Semana 41,1.09
2010,Semana 42,1.10
2010,Semana 43,1.10
2010,Semana 44,1.10
2010,Semana 46,1.10
2010,Semana 47,1.13
2010,Semana 48,1.12
2010,Semana 49,1.13
2010,Semana 50,1.15
2010,Semana 51,1.16
2010,Semana 52,1.17
2011,Semana 2,1.19
2011,Semana 3,1.19
2011,Semana 4,1.22
2011,Semana 5,1.21
2011,Semana 6,1.20
2011,Semana 7,1.23
2011,Semana 8,1.24
2011,Semana 9,1.25
2011,Semana 10,1.27
2011,Semana 11,1.29
2011,Semana 12,1.29
2011,Semana 13,1.29
2011,Semana 14,1.29
2011,Semana 15,1.29
2011,Semana 16,1.31
2011,Semana 17,1.30
2011,Semana 19,1.29
2011,Semana 20,1.24
2011,Semana 21,1.24
2011,Semana 22,1.24
2011,Semana 23,1.26
2011,Semana 24,1.25
2011,Semana 25,1.26
2011,Semana 26,1.27
2011,Semana 27,1.24
2011,Semana 28,1.24
2011,Semana 29,1.26
2011,Semana 30,1.28
2011,Semana 31,1.28
2011,Semana 32,1.28
2011,Semana 33,1.27
2011,Semana 35,1.24
2011,Semana 36,1.24
2011,Semana 37,1.27
2011,Semana 38,1.28
2011,Semana 39,1.28
2011,Semana 40,1.28
2011,Semana 41,1.26
2011,Semana 42,1.27
2011,Semana 43,1.28
2011,Semana 44,1.29
2011,Semana 45,1.30
2011,Semana 46,1.30
2011,Semana 47,1.32
2011,Semana 48,1.32
2011,Semana 49,1.30
2011,Semana 50,1.30
2011,Semana 51,1.30
2011,Semana 52,1.29
2012,Semana 3,1.34
2012,Semana 4,1.36
2012,Semana 5,1.33
2012,Semana 6,1.32
2012,Semana 7,1.33
2012,Semana 8,1.35
2012,Semana 9,1.37
2012,Semana 10,1.37
2012,Semana 11,1.36
2012,Semana 12,1.39
2012,Semana 13,1.40
2012,Semana 14,1.39
2012,Semana 15,1.39
2012,Semana 17,1.38
2012,Semana 18,1.37
2012,Semana 19,1.37
2012,Semana 20,1.37
2012,Semana 21,1.35
2012,Semana 22,1.35
2012,Semana 23,1.33
2012,Semana 24,1.32
2012,Semana 25,1.30
2012,Semana 26,1.29
2012,Semana 27,1.28
2012,Semana 28,1.29
2012,Semana 29,1.32
2012,Semana 30,1.34
2012,Semana 31,1.38
2012,Semana 32,1.37
2012,Semana 33,1.36
2012,Semana 34,1.40
2012,Semana 35,1.42
2012,Semana 36,1.42
2012,Semana 37,1.44
2012,Semana 38,1.44
2012,Semana 39,1.43
2012,Semana 40,1.41
2012,Semana 41,1.42
2012,Semana 42,1.42
2012,Semana 43,1.43
2012,Semana 44,1.40
2012,Semana 45,1.39
2012,Semana 46,1.37
2012,Semana 47,1.35
2012,Semana 48,1.35
2012,Semana 49,1.35
2012,Semana 50,1.35
2012,Semana 51,1.35
2012,Semana 52,1.34
2013,Semana 2,1.36
2013,Semana 3,1.38
2013,Semana 4,1.37
2013,Semana 5,1.38
2013,Semana 6,1.38
2013,Semana 7,1.39
2013,Semana 8,1.41
2013,Semana 9,1.41
2013,Semana 10,1.40
2013,Semana 11,1.38
2013,Semana 12,1.37
2013,Semana 13,1.36
2013,Semana 15,1.37
2013,Semana 16,1.34
2013,Semana 17,1.31
2013,Semana 18,1.31
2013,Semana 19,1.30
2013,Semana 20,1.32
2013,Semana 21,1.33
2013,Semana 22,1.35
2013,Semana 23,1.34
2013,Semana 24,1.33
2013,Semana 25,1.33
2013,Semana 26,1.33
2013,Semana 27,1.33
2013,Semana 28,1.34
2013,Semana 29,1.36
2013,Semana 30,1.37
2013,Semana 31,1.38
2013,Semana 32,1.36
2013,Semana 33,1.36
2013,Semana 34,1.36
2013,Semana 35,1.37
2013,Semana 36,1.38
2013,Semana 37,1.40
2013,Semana 38,1.40
2013,Semana 39,1.38
2013,Semana 40,1.36
2013,Semana 41,1.36
2013,Semana 42,1.36
2013,Semana 43,1.36
2013,Semana 44,1.35
2013,Semana 45,1.34
2013,Semana 46,1.34
2013,Semana 47,1.34
2013,Semana 48,1.34
2013,Semana 49,1.36
2013,Semana 50,1.36
2013,Semana 51,1.35
2014,Semana 2,1.36
2014,Semana 3,1.34
2014,Semana 4,1.34
2014,Semana 5,1.34
2014,Semana 6,1.34
2014,Semana 7,1.34
2014,Semana 8,1.34
2014,Semana 9,1.34
2014,Semana 10,1.34
2014,Semana 11,1.34
2014,Semana 12,1.32
2014,Semana 13,1.31
2014,Semana 14,1.32
2014,Semana 15,1.32
2014,Semana 16,1.32
2014,Semana 18,1.33
2014,Semana 19,1.33
2014,Semana 20,1.31
2014,Semana 21,1.32
2014,Semana 22,1.33
2014,Semana 23,1.33
2014,Semana 24,1.32
2014,Semana 25,1.32
2014,Semana 26,1.34
2014,Semana 27,1.35
2014,Semana 28,1.34
2014,Semana 29,1.33
2014,Semana 30,1.32
2014,Semana 31,1.32
2014,Semana 32,1.32
2014,Semana 33,1.32
2014,Semana 34,1.33
2014,Semana 35,1.32
2014,Semana 36,1.32
2014,Semana 37,1.33
2014,Semana 38,1.33
2014,Semana 39,1.32
2014,Semana 40,1.31
2014,Semana 41,1.31
2014,Semana 42,1.30
2014,Semana 43,1.27
2014,Semana 44,1.26
2014,Semana 45,1.26
2014,Semana 46,1.27
2014,Semana 47,1.26
2014,Semana 48,1.24
2014,Semana 49,1.23
2014,Semana 50,1.20
2014,Semana 51,1.16
2015,Semana 2,1.10
2015,Semana 3,1.08
2015,Semana 4,1.06
2015,Semana 5,1.06
2015,Semana 6,1.07
2015,Semana 7,1.11
2015,Semana 8,1.14
2015,Semana 9,1.16
2015,Semana 10,1.17
2015,Semana 11,1.18
2015,Semana 12,1.18
2015,Semana 13,1.16
2015,Semana 14,1.16
2015,Semana 16,1.15
2015,Semana 17,1.18
2015,Semana 18,1.20
2015,Semana 19,1.20
2015,Semana 20,1.20
2015,Semana 21,1.20
2015,Semana 22,1.20
2015,Semana 23,1.20
2015,Semana 24,1.19
2015,Semana 25,1.19
2015,Semana 26,1.18
2015,Semana 27,1.18
2015,Semana 28,1.18
2015,Semana 29,1.16
2015,Semana 30,1.15
2015,Semana 31,1.14
2015,Semana 32,1.12
2015,Semana 33,1.11
2015,Semana 34,1.10
2015,Semana 35,1.09
2015,Semana 36,1.05
2015,Semana 37,1.08
2015,Semana 38,1.09
2015,Semana 39,1.07
2015,Semana 40,1.07
2015,Semana 41,1.07
2015,Semana 42,1.08
2015,Semana 43,1.06
2015,Semana 44,1.05
2015,Semana 45,1.05
2015,Semana 46,1.07
2015,Semana 47,1.07
2015,Semana 48,1.05
2015,Semana 49,1.05
2015,Semana 50,1.04
2015,Semana 51,1
2016,Semana 2,0.96
2016,Semana 3,0.96
2016,Semana 4,0.93
2016,Semana 5,0.91
2016,Semana 6,0.92
2016,Semana 7,0.93
2016,Semana 8,0.92
2016,Semana 9,0.93
2016,Semana 10,0.93
2016,Semana 11,0.95
2016,Semana 12,0.97
2016,Semana 13,0.98
2016,Semana 14,0.98
2016,Semana 15,0.98
2016,Semana 16,0.95
2016,Semana 17,0.97
2016,Semana 18,0.99
2016,Semana 19,1
2016,Semana 20,1
2016,Semana 21,1.01
2016,Semana 22,1.03
2016,Semana 23,1.05
2016,Semana 24,1.06
2016,Semana 25,1.06
2016,Semana 26,1.05
2016,Semana 27,1.05
2016,Semana 28,1.05
2016,Semana 29,1.04
2016,Semana 30,1.03
2016,Semana 31,1.03
2016,Semana 32,1.01
2016,Semana 33,1
2016,Semana 34,1
2016,Semana 35,1.02
2016,Semana 36,1.04
2016,Semana 37,1.03
2016,Semana 38,1.03
2016,Semana 39,1.03
2016,Semana 40,1.03
2016,Semana 41,1.03
2016,Semana 42,1.05
2016,Semana 43,1.07
2016,Semana 44,1.07
2016,Semana 45,1.08
2016,Semana 46,1.06
2016,Semana 47,1.04
2016,Semana 48,1.04
2016,Semana 49,1.06
2016,Semana 50,1.07
2016,Semana 51,1.09
2016,Semana 52,1.11
2017,Semana 2,1.13
2017,Semana 3,1.14
2017,Semana 4,1.13
2017,Semana 5,1.12
2017,Semana 6,1.12
2017,Semana 7,1.12
2017,Semana 8,1.13
2017,Semana 9,1.13
2017,Semana 10,1.13
2017,Semana 11,1.13
2017,Semana 12,1.13
2017,Semana 13,1.11
2017,Semana 14,1.10
2017,Semana 15,1.09
2017,Semana 16,1.11
2017,Semana 17,1.13
2017,Semana 18,1.13
2017,Semana 19,1.11
2017,Semana 20,1.09
2017,Semana 21,1.08
2017,Semana 22,1.08
2017,Semana 23,1.09
2017,Semana 24,1.08
2017,Semana 25,1.06
2017,Semana 26,1.05
2017,Semana 27,1.04
2017,Semana 28,1.04
2017,Semana 29,1.05
2017,Semana 30,1.05
2017,Semana 31,1.05
2017,Semana 32,1.06
2017,Semana 33,1.07
2017,Semana 34,1.07
2017,Semana 35,1.07
2017,Semana 36,1.07
2017,Semana 37,1.07
2017,Semana 38,1.08
2017,Semana 39,1.09
2017,Semana 40,1.09
2017,Semana 41,1.11
2017,Semana 42,1.11
2017,Semana 43,1.10
2017,Semana 44,1.11
2017,Semana 45,1.11
2017,Semana 46,1.12
2017,Semana 47,1.13
2017,Semana 48,1.14
2017,Semana 49,1.14
2017,Semana 50,1.14
2017,Semana 51,1.13
2017,Semana 52,1.14
2018,Semana 1,1.15
2018,Semana 2,1.16
2018,Semana 3,1.16
2018,Semana 4,1.17
2018,Semana 5,1.16
2018,Semana 6,1.16
2018,Semana 7,1.15
2018,Semana 8,1.13
2018,Semana 9,1.13
2018,Semana 10,1.14
2018,Semana 11,1.13
2018,Semana 12,1.13
2018,Semana 13,1.14
2018,Semana 15,1.16
2018,Semana 16,1.16
2018,Semana 17,1.17
2018,Semana 18,1.18
2018,Semana 19,1.19
2018,Semana 20,1.21
2018,Semana 21,1.23
2018,Semana 22,1.24
2018,Semana 23,1.24
2018,Semana 24,1.24
2018,Semana 25,1.23
2018,Semana 26,1.22
2018,Semana 27,1.22
2018,Semana 28,1.23
2018,Semana 29,1.23
2018,Semana 30,1.22
2018,Semana 31,1.22
2018,Semana 32,1.23
2018,Semana 33,1.23
2018,Semana 34,1.23
2018,Semana 35,1.23
2018,Semana 36,1.24
2018,Semana 37,1.25
2018,Semana 38,1.25
2018,Semana 39,1.24
2018,Semana 40,1.25
2018,Semana 41,1.27
2018,Semana 42,1.28
2018,Semana 43,1.28
2018,Semana 44,1.28
2018,Semana 45,1.27
2018,Semana 46,1.26
2018,Semana 47,1.25
2018,Semana 48,1.23
2018,Semana 49,1.20
2018,Semana 50,1.18
2018,Semana 51,1.16
2019,Semana 2,1.13
2019,Semana 3,1.15
2019,Semana 4,1.17
2019,Semana 5,1.18
2019,Semana 6,1.18
2019,Semana 7,1.19
2019,Semana 8,1.20
2019,Semana 9,1.22
2019,Semana 10,1.23
2019,Semana 11,1.23
2019,Semana 12,1.23
2019,Semana 13,1.23
2019,Semana 14,1.23
2019,Semana 15,1.23
2019,Semana 16,1.24
2019,Semana 18,1.26
2019,Semana 19,1.26
2019,Semana 20,1.26
2019,Semana 21,1.26
2019,Semana 22,1.26
2019,Semana 23,1.25
2019,Semana 24,1.22
2019,Semana 25,1.20
2019,Semana 26,1.19
2019,Semana 27,1.20
2019,Semana 28,1.21
2019,Semana 29,1.21
2019,Semana 30,1.21
2019,Semana 31,1.21
2019,Semana 32,1.22
2019,Semana 33,1.21
2019,Semana 34,1.20
2019,Semana 35,1.20
2019,Semana 36,1.20
2019,Semana 37,1.20
2019,Semana 38,1.21
2019,Semana 39,1.23
2019,Semana 40,1.23
2019,Semana 41,1.22
2019,Semana 42,1.21
2019,Semana 43,1.21
2019,Semana 44,1.21
2019,Semana 45,1.21
2019,Semana 46,1.22
2019,Semana 47,1.21
2019,Semana 48,1.21
2019,Semana 49,1.22
2019,Semana 50,1.22
2019,Semana 51,1.22
2020,Semana 2,1.25
2020,Semana 3,1.25
2020,Semana 4,1.25
2020,Semana 5,1.24
2020,Semana 6,1.22
2020,Semana 7,1.21
2020,Semana 8,1.20
2020,Semana 9,1.20
2020,Semana 10,1.19
2020,Semana 11,1.17
2020,Semana 12,1.13
2020,Semana 13,1.08
2020,Semana 14,1.06
2020,Semana 15,1.04
2020,Semana 17,1.02
2020,Semana 18,1
2020,Semana 19,0.98
2020,Semana 20,0.98
2020,Semana 21,0.99
2020,Semana 22,1
2020,Semana 23,1
2020,Semana 24,1.01
2020,Semana 25,1.02
2020,Semana 26,1.03
2020,Semana 27,1.04
2020,Semana 28,1.05
2020,Semana 29,1.06
2020,Semana 30,1.06
2020,Semana 31,1.06
2020,Semana 32,1.06
2020,Semana 33,1.06
2020,Semana 34,1.06
2020,Semana 35,1.06
2020,Semana 36,1.06
2020,Semana 37,1.05
2020,Semana 38,1.04
2020,Semana 39,1.03
2020,Semana 40,1.03
2020,Semana 41,1.03
2020,Semana 42,1.03
2020,Semana 43,1.03
2020,Semana 44,1.03
2020,Semana 45,1.02
2020,Semana 46,1.01
2020,Semana 47,1.02
2020,Semana 48,1.03
2020,Semana 49,1.04
2020,Semana 50,1.05
2020,Semana 51,1.06
2020,Semana 52,1.07
2021,Semana 3,1.09
2021,Semana 4,1.10
2021,Semana 5,1.11
2021,Semana 6,1.11
2021,Semana 7,1.12
2021,Semana 8,1.13
2021,Semana 9,1.15
2021,Semana 10,1.17
2021,Semana 11,1.17
2021,Semana 12,1.19
2021,Semana 13,1.19
2021,Semana 14,1.18
2021,Semana 15,1.18
2021,Semana 16,1.18
2021,Semana 17,1.18
2021,Semana 18,1.18
2021,Semana 19,1.19
2021,Semana 20,1.20
2021,Semana 21,1.21
2021,Semana 22,1.21
2021,Semana 23,1.21
2021,Semana 24,1.22
2021,Semana 25,1.23
2021,Semana 26,1.24
2021,Semana 27,1.25
2021,Semana 28,1.25
2021,Semana 29,1.26
2021,Semana 30,1.27
2021,Semana 31,1.26
2021,Semana 32,1.27
2021,Semana 33,1.27
2021,Semana 34,1.27
2021,Semana 35,1.26
2021,Semana 36,1.26
2021,Semana 37,1.27
2021,Semana 38,1.27
2021,Semana 39,1.28
2021,Semana 40,1.29
2021,Semana 41,1.31
2021,Semana 42,1.34
2021,Semana 43,1.36
2021,Semana 44,1.37
2021,Semana 45,1.38
2021,Semana 46,1.38
2021,Semana 47,1.39
2021,Semana 48,1.38
2021,Semana 49,1.38
2021,Semana 50,1.35
2021,Semana 51,1.35
2021,Semana 52,1.34
2022,Semana 2,1.35
2022,Semana 3,1.36
2022,Semana 4,1.38
2022,Semana 5,1.40
2022,Semana 6,1.42
2022,Semana 7,1.44
2022,Semana 8,1.46
2022,Semana 9,1.48
2022,Semana 10,1.50
2022,Semana 11,1.58
2022,Semana 12,1.82
2022,Semana 13,1.80
2022,Semana 14,1.84
2022,Semana 15,1.65
2022,Semana 16,1.61
2022,Semana 18,1.85
2022,Semana 19,1.87
2022,Semana 20,1.91
2022,Semana 21,1.89
2022,Semana 22,1.87
2022,Semana 23,1.85
2022,Semana 24,1.92
2022,Semana 25,2
2022,Semana 26,2.08
2022,Semana 27,2.10
2022,Semana 28,2.08
2022,Semana 29,2.02
2022,Semana 30,1.97
2022,Semana 31,1.93
2022,Semana 32,1.89
2022,Semana 33,1.85
2022,Semana 34,1.81
2022,Semana 35,1.82
2022,Semana 36,1.88
2022,Semana 37,1.92
2022,Semana 38,1.91
2022,Semana 39,1.87
2022,Semana 40,1.82
2022,Semana 41,1.81
2022,Semana 42,1.86
2022,Semana 43,1.95
2022,Semana 44,1.97
2022,Semana 45,1.97
2022,Semana 46,1.96
2022,Semana 47,1.94
2022,Semana 48,1.87
2022,Semana 49,1.82
2022,Semana 50,1.76
2022,Semana 51,1.71
2022,Semana 52,1.66
2022,Semana 53,1.64
2023,Semana 1,1.66
2023,Semana 2,1.68
2023,Semana 3,1.68
2023,Semana 4,1.69
2023,Semana 5,1.70
2023,Semana 6,1.68
2023,Semana 7,1.63
2023,Semana 8,1.61
2023,Semana 9,1.59
2023,Semana 10,1.59
2023,Semana 11,1.59
2023,Semana 12,1.57
2023,Semana 13,1.55
2023,Semana 15,1.52
2023,Semana 16,1.52
2023,Semana 17,1.50
2023,Semana 18,1.46
2023,Semana 19,1.43
2023,Semana 20,1.41
2023,Semana 21,1.41
2023,Semana 22,1.42
2023,Semana 23,1.42
2023,Semana 24,1.42
2023,Semana 25,1.43
2023,Semana 26,1.44
2023,Semana 27,1.44
2023,Semana 28,1.44
2023,Semana 29,1.45
2023,Semana 30,1.47
2023,Semana 31,1.50
2023,Semana 32,1.55
2023,Semana 33,1.59
2023,Semana 34,1.60
2023,Semana 35,1.61
2023,Semana 36,1.62
2023,Semana 37,1.63
2023,Semana 38,1.67
2023,Semana 39,1.69
